train_acc_private,train_acc_public,train_loss,train_sign_acc,train_sign_loss,train_time,valid_acc_private,valid_acc_public,valid_loss_private,valid_loss_public,valid_s_private_features.4,valid_s_private_features.5,valid_s_private_features.6,valid_time_private,valid_time_public,valid_total_acc
82.32034250960308,84.56906209987196,0.9503266289353218,1.0,2.288913331925869,49.62097430229187,67.7,82.43,0.9850322389602661,0.571198934173584,1.0,1.0,1.0,6.532383680343628,6.536855936050415,75.065
83.1906209987196,85.76144366197182,0.8956070065345715,1.0,2.439680003328249,49.421663761138916,62.59,81.45,1.0775755100250244,0.62079871301651,1.0,1.0,1.0,6.51509952545166,6.517613410949707,72.02000000000001
83.92485595390525,86.48967669654289,0.8484432227938185,1.0,2.5514492951333523,49.430097341537476,68.38,82.35,0.9184591651916504,0.5891749263286591,1.0,1.0,1.0,6.5356950759887695,6.551052093505859,75.365
84.84715108834827,87.18389884763124,0.8074629242304192,1.0,2.693716460140422,49.46790313720703,66.58,83.76,0.8931793392181396,0.5168319240570068,1.0,1.0,1.0,6.5209245681762695,6.475825309753418,75.17
85.78545134443021,88.02616837387964,0.7628375687916666,1.0,2.8189111426472664,49.54909586906433,75.49,83.46,0.6949440880775452,0.5528043989181518,1.0,1.0,1.0,6.529376029968262,6.829450607299805,79.475
86.25160051216389,88.67237516005122,0.7207909916717172,1.0,2.917137955315411,49.63667154312134,68.54,84.16,0.8888102792739868,0.5123397199630737,1.0,1.0,1.0,6.519507169723511,6.506471872329712,76.35
86.81978233034572,89.14652688860436,0.6859956207600507,1.0,3.0197709996718913,49.450570821762085,74.78,84.99,0.7052749250411987,0.5042245545387268,1.0,1.0,1.0,6.527181625366211,6.521325349807739,79.88499999999999
87.46798975672215,89.96478873239437,0.6469329123345899,1.0,3.119435233529657,49.874919176101685,76.06,83.84,0.6830993353843688,0.5385618076324463,1.0,1.0,1.0,6.529191017150879,6.468773365020752,79.95
88.21022727272727,90.520966709347,0.6146761710909356,1.0,3.227432266343385,49.44797468185425,75.12,85.0,0.6847451991081238,0.48696869306564333,1.0,1.0,1.0,6.513185024261475,6.5111165046691895,80.06
88.66037131882203,91.14516645326505,0.5862478498421925,1.0,3.3471771921031177,49.43996596336365,76.44,83.05,0.6783069297790527,0.6022032518386841,1.0,1.0,1.0,6.524734973907471,6.493269681930542,79.745
